experiment,representation,corpus,algorithm,family,repeat,fold,n_train,n_test,macro_f1,spam_f1,pr_auc,roc_auc,mcc,balanced_accuracy,accuracy,recall_at_99_precision,tn,fp,fn,tp,train_time_s,predict_ms_per_1000,n_configs
E1,word,full,LogisticRegression,Linear / probabilistic,2,2,4459,1115,0.9698281693952104,0.9473684210526315,0.9842366308861151,0.9950393930551503,0.9409616213535116,0.9525025358845026,0.9865470852017937,0.9194630872483222,965,1,14,135,2.3239929210000128,15.437380269016883,8
E1,word,full,LinearSVM,Kernel (linear),2,2,4459,1115,0.9740065741220607,0.9547038327526133,0.9813517271129331,0.9947892784192754,0.9489425840249646,0.9592139452804758,0.9883408071748879,0.9261744966442953,965,1,12,137,2.3505770880000227,15.608530044840993,8
E1,word,full,kNN,Instance-based,2,2,4459,1115,0.9462455312773501,0.9057971014492754,0.9404709763631844,0.9677803715591867,0.8962970876947277,0.9184278905609515,0.9766816143497757,0.8322147651006712,964,2,24,125,3.150794159000043,63.5317112107663,8
E1,word,full,RandomForest,Ensemble,2,2,4459,1115,0.949713615658684,0.9122807017543859,0.9713833340797179,0.9869523531618658,0.9006896977612943,0.9331360206761432,0.9775784753363229,0.7986577181208053,960,6,19,130,26.087826242999995,37.16755605380503,8
E1,word,full,MultinomialNB,Linear / probabilistic,2,3,4459,1115,0.9724154261560428,0.952054794520548,0.9825158379791115,0.9956062176165803,0.9453068432993251,0.9617789291882556,0.9874439461883409,0.8933333333333333,962,3,11,139,2.0806415110000103,15.527109417030974,8
E1,word,full,LogisticRegression,Linear / probabilistic,2,3,4459,1115,0.9641156024716786,0.9375,0.9739838511500655,0.9902728842832469,0.929313444107263,0.9484455958549223,0.9838565022421525,0.9,962,3,15,135,2.2456127089999995,15.069230493273636,8
E1,word,full,LinearSVM,Kernel (linear),2,3,4459,1115,0.9705307634162114,0.9488054607508533,0.9753401024861449,0.9910949913644214,0.9414227159578643,0.9612607944732297,0.9865470852017937,0.9,961,4,11,139,2.3767894970000043,14.525061883412109,8
E1,word,full,kNN,Instance-based,2,3,4459,1115,0.9615517939168894,0.9328621908127208,0.9572305236753931,0.9749879101899828,0.9253343337622335,0.9394818652849741,0.9829596412556054,0.9066666666666666,964,1,18,132,3.2496960909999757,56.20698744396088,8
E1,word,full,RandomForest,Ensemble,2,3,4459,1115,0.9596499862484258,0.9295774647887324,0.9763707668231988,0.9933471502590674,0.9212574588260598,0.9389637305699482,0.9820627802690582,0.8333333333333334,963,2,18,132,28.241422883999974,52.20284215248068,8
E1,word,full,MultinomialNB,Linear / probabilistic,2,4,4459,1115,0.9701844552713348,0.9480968858131488,0.975143231892536,0.9904559585492229,0.9412818033709931,0.9556303972366149,0.9865470852017937,0.9133333333333333,963,2,13,137,2.0928607359999774,16.170987443949482,8
E1,word,full,LogisticRegression,Linear / probabilistic,2,4,4459,1115,0.9806334847916407,0.9664429530201343,0.9868245069849445,0.9962037996545768,0.9612960823597488,0.9779274611398964,0.9910313901345291,0.9,961,4,6,144,2.2692571970000017,15.73710852016418,8
E1,word,full,LinearSVM,Kernel (linear),2,4,4459,1115,0.9804105526508125,0.9659863945578231,0.9881859088237934,0.9950915371329879,0.961089132716077,0.9722970639032815,0.9910313901345291,0.92,963,2,8,142,2.322565411000028,15.675970403595793,8
E1,word,full,kNN,Instance-based,2,4,4459,1115,0.9534574347414977,0.9187279151943463,0.9381058559726536,0.9652089810017271,0.9091157095046702,0.9317789291882557,0.979372197309417,0.8666666666666667,962,3,20,130,3.4869734979999976,78.69503139014267,8
E1,word,full,RandomForest,Ensemble,2,4,4459,1115,0.9684747727497632,0.9452054794520548,0.9813917791095246,0.9911813471502591,0.9374225097519656,0.9579274611398965,0.9856502242152466,0.8666666666666667,961,4,12,138,27.118162036,38.48348789240706,8
E1,word,full,MultinomialNB,Linear / probabilistic,2,5,4460,1114,0.9824177751277983,0.9694915254237289,0.9924099233677344,0.9973363007267796,0.964902390929559,0.9783113676670028,0.9919210053859964,0.9328859060402684,962,3,6,143,2.2168452550000097,18.776509874326603,8
E1,word,full,LogisticRegression,Linear / probabilistic,2,5,4460,1114,0.9772704086837649,0.9607843137254902,0.9939747648692713,0.9972389331293251,0.9549843268651107,0.9881072434537678,0.9892280071813285,0.9664429530201343,955,10,2,147,2.500016469000002,16.06663375220601,8
E1,word,full,LinearSVM,Kernel (linear),2,5,4460,1114,0.9847631031841558,0.9736842105263158,0.9949979960057642,0.9982821573877664,0.9697813745971979,0.9930173522968321,0.992818671454219,0.9664429530201343,958,7,1,148,2.446804068000006,14.698801615810238,8
E1,word,full,kNN,Instance-based,2,5,4460,1114,0.9601231386025201,0.9305555555555556,0.9608540925260829,0.9842160169697813,0.9209928429565466,0.9470737559550718,0.9820466786355476,0.8187919463087249,960,5,15,134,3.023468777000005,61.51340215441756,8
