experiment,representation,corpus,algorithm,family,repeat,fold,n_train,n_test,macro_f1,spam_f1,pr_auc,roc_auc,mcc,balanced_accuracy,accuracy,recall_at_99_precision,tn,fp,fn,tp,train_time_s,predict_ms_per_1000,n_configs
E1,word,full,LogisticRegression,Linear / probabilistic,2,5,4460,1114,0.9772704086837648,0.9607843137254902,0.9939747648692712,0.9972389331293252,0.9549843268651108,0.9881072434537678,0.9892280071813284,0.9664429530201344,955,10,2,147,2.500016469000002,16.06663375220601,8
E1,word,full,LinearSVM,Kernel (linear),2,5,4460,1114,0.9847631031841558,0.9736842105263158,0.9949979960057642,0.9982821573877664,0.969781374597198,0.993017352296832,0.992818671454219,0.9664429530201344,958,7,1,148,2.446804068000006,14.698801615810238,8
E1,word,full,kNN,Instance-based,2,5,4460,1114,0.96012313860252,0.9305555555555556,0.9608540925260828,0.9842160169697812,0.9209928429565466,0.9470737559550718,0.9820466786355476,0.8187919463087249,960,5,15,134,3.023468777000005,61.51340215441756,8
E1,word,full,RandomForest,Ensemble,2,5,4460,1114,0.9787541329227718,0.9632107023411371,0.9948085700975492,0.9989776402267272,0.9575154834845904,0.9801126682199116,0.9901256732495513,0.912751677852349,959,6,5,144,28.25839938500002,49.67272800719603,8
E1,word,full,MultinomialNB,Linear / probabilistic,3,1,4459,1115,0.9677199889987408,0.943661971830986,0.9844021554953536,0.9932746953464784,0.9369579726182592,0.949146831186516,0.9856502242152466,0.8993288590604027,965,1,15,134,2.0531083909999666,19.346319282497955,8
E1,word,full,LogisticRegression,Linear / probabilistic,3,1,4459,1115,0.9781352671989788,0.9619377162629758,0.987851543436066,0.9943237872913974,0.956889329904284,0.9659253546764488,0.990134529147982,0.9328859060402684,965,1,10,139,2.203279792999979,15.648452017966,8
E1,word,full,LinearSVM,Kernel (linear),3,1,4459,1115,0.9762175613224316,0.9586206896551724,0.9855640540500984,0.992572984840274,0.9529196337090488,0.9654077563327635,0.989237668161435,0.9328859060402684,964,2,10,139,2.3343355090000277,14.070511210754905,8
E1,word,full,kNN,Instance-based,3,1,4459,1115,0.94624553127735,0.9057971014492754,0.9604561794727348,0.979737240679756,0.8962970876947277,0.9184278905609516,0.9766816143497756,0.7986577181208053,964,2,24,125,3.171695675999956,62.44849506726043,8
E1,word,full,RandomForest,Ensemble,3,1,4459,1115,0.956398862424458,0.9241379310344828,0.97783671606139,0.9953311934636708,0.9132668081438138,0.9460412411244042,0.980269058295964,0.8322147651006712,959,7,15,134,27.91237312100003,34.54179641256623,8
E1,word,full,MultinomialNB,Linear / probabilistic,3,2,4459,1115,0.9741598612351569,0.9550173010380624,0.9777843824528754,0.9867578195561856,0.9489345742446884,0.962052051634777,0.988340807174888,0.8791946308724832,964,2,11,138,2.1829977029999554,14.478251121100776,8
